BUS;PD;QD;Vmax;Vmin;baseKV;zone
3;151;48.8;1.1;0.9;220;5
4;171.41;23.4;1.1;0.9;220;5
10;134;24.7;1.1;0.9;220;5
21;161.2;39.3;1.1;0.9;220;5
22;0;0;1.1;0.9;220;5
26;167.3;54.8;1.1;0.9;380;5
29;152.9;49.4;1.1;0.9;380;5
44;0;0;1.1;0.9;220;5
53;48.65;16.1;1.1;0.9;220;5
58;0;0;1.1;0.9;380;5
59;119.2;20.7;1.1;0.9;220;5
90;363.25;115.39;1.1;0.9;220;5
96;-8.4;28.66;1.1;0.9;220;5
113;0;0;1.1;0.9;380;5
115;0;0;1.1;0.9;220;5
118;704.53;-35.33;1.1;0.9;380;5
124;0;0;1.1;0.9;220;5
128;23.73;12.7;1.1;0.9;220;5
145;38.34;5.6;1.1;0.9;220;5
148;32.34;12;1.1;0.9;220;5
150;0;0;1.1;0.9;220;5
163;147.76;32.73;1.1;0.9;220;5
171;100.8;13.2;1.1;0.9;220;5
174;370.5;-17;1.1;0.9;220;5
184;0;0;1.1;0.9;220;5
188;36.84;13.9;1.1;0.9;220;5
195;73.14;21.55;1.1;0.9;220;5
196;0;0;1.1;0.9;220;5
198;39.74;11.8;1.1;0.9;220;5
207;321.98;84.4;1.1;0.9;220;5
216;155.6;54.7;1.1;0.9;220;5
217;105.2;0.1;1.1;0.9;220;5
218;69.83;15.12;1.1;0.9;220;5
221;0;0;1.1;0.9;380;5
225;0;0;1.1;0.9;220;5
280;119.6;29.6;1.1;0.9;220;5
283;27.33;11.9;1.1;0.9;220;5
292;13.82;1.4;1.1;0.9;220;5
305;103;12;1.1;0.9;220;5
306;0;0;1.1;0.9;220;5
314;163.1;46.3;1.1;0.9;220;5
333;524.5;43;1.1;0.9;220;5
338;0;0;1.1;0.9;220;5
346;197.5;48.3;1.1;0.9;220;5
350;110.4;26.2;1.1;0.9;220;5
352;0;0;1.1;0.9;380;5
367;65.17;-51.5;1.1;0.9;220;5
401;56.5;36.29;1.1;0.9;220;5
408;129.1;7.4;1.1;0.9;220;5
410;170.89;50.38;1.1;0.9;220;5
413;0;0;1.1;0.9;220;5
416;70.68;13.5;1.1;0.9;220;5
426;123.1;6.5;1.1;0.9;220;5
432;0;0;1.1;0.9;380;5
444;0;0;1.1;0.9;220;5
449;0;0;1.1;0.9;380;5
453;0;0;1.1;0.9;380;5
455;274.32;5.66;1.1;0.9;220;5
490;20.52;4;1.1;0.9;220;5
500;144.4;35.5;1.1;0.9;220;5
502;0;0;1.1;0.9;220;5
506;0;0;1.1;0.9;380;5
513;57.46;17.1;1.1;0.9;220;5
516;0;0;1.1;0.9;220;5
520;118.5;20.4;1.1;0.9;220;5
549;0;0;1.1;0.9;220;5
554;0;0;1.1;0.9;220;5
556;16.52;9;1.1;0.9;220;5
561;0;0;1.1;0.9;220;5
564;0;0;1.1;0.9;220;5
575;0;0;1.1;0.9;220;5
583;0;0;1.1;0.9;220;5
594;67.57;17;1.1;0.9;220;5
601;140.6;42.6;1.1;0.9;220;5
604;33.24;4.4;1.1;0.9;380;5
608;150.9;10.4;1.1;0.9;220;5
609;0;0;1.1;0.9;220;5
615;0;0;1.1;0.9;220;5
616;0;0;1.1;0.9;220;5
619;72.88;14.4;1.1;0.9;220;5
639;0;0;1.1;0.9;220;5
641;45.32;18.5;1.1;0.9;220;5
658;258.4;66.7;1.1;0.9;220;5
661;0;0;1.1;0.9;380;5
666;-5.61;-2.79;1.1;0.9;380;5
678;232.1;89.8;1.1;0.9;220;5
682;0;0;1.1;0.9;220;5
687;0;0;1.1;0.9;220;5
707;83.99;21.2;1.1;0.9;220;5
718;135.11;41;1.1;0.9;220;5
720;0;0;1.1;0.9;380;5
726;400.3;189.9;1.1;0.9;220;5
742;0;0;1.1;0.9;220;5
747;69.58;16;1.1;0.9;220;5
749;0;0;1.1;0.9;220;5
750;0;0;1.1;0.9;220;5
757;0;0;1.1;0.9;380;5
766;0;0;1.1;0.9;220;5
769;152.57;40;1.1;0.9;220;5
772;343.9;141.9;1.1;0.9;220;5
776;0;0;1.1;0.9;220;5
778;0;0;1.1;0.9;220;5
789;0;0;1.1;0.9;220;5
795;0;0;1.1;0.9;220;5
800;50.56;18;1.1;0.9;220;5
803;0;0;1.1;0.9;220;5
804;0;0;1.1;0.9;220;5
805;124.5;29.6;1.1;0.9;220;5
809;0;0;1.1;0.9;380;5
819;0;0;1.1;0.9;220;5
823;0;0;1.1;0.9;380;5
839;0;0;1.1;0.9;380;5
851;0;0;1.1;0.9;220;5
858;0;0;1.1;0.9;380;5
870;110;3.4;1.1;0.9;220;5
871;108.89;-21.76;1.1;0.9;220;5
883;192.5;78.3;1.1;0.9;220;5
891;0;0;1.1;0.9;380;5
892;0;0;1.1;0.9;220;5
900;0;0;1.1;0.9;220;5
903;82.69;20.1;1.1;0.9;220;5
905;631.71;-54.16;1.1;0.9;380;5
907;0;0;1.1;0.9;220;5
908;125.9;-0.5;1.1;0.9;220;5
920;34.44;8.5;1.1;0.9;220;5
923;62.07;14.7;1.1;0.9;220;5
933;0;0;1.1;0.9;220;5
935;0;0;1.1;0.9;220;5
953;108.7;-12.15;1.1;0.9;380;5
954;66.27;13.6;1.1;0.9;220;5
960;0;0;1.1;0.9;380;5
964;88.5;16.5;1.1;0.9;380;5
972;0;0;1.3;0.7;380;5
980;14.71;4.6;1.1;0.9;220;5
1001;0;0;1.1;0.9;220;5
1002;0;0;1.1;0.9;220;5
1005;0;0;1.1;0.9;220;5
1015;44.55;0;1.1;0.9;220;5
1026;201.4;53;1.1;0.9;220;5
1027;-5.91;-2.33;1.1;0.9;380;5
1033;26.33;5.3;1.1;0.9;220;5
1035;382.5;57.9;1.1;0.9;220;5
1039;34.64;0;1.1;0.9;220;5
1040;31.94;8.8;1.1;0.9;220;5
1043;0;0;1.1;0.9;380;5
1051;0;0;1.1;0.9;220;5
1077;0;0;1.1;0.9;220;5
1078;0;0;1.1;0.9;220;5
1081;277.86;58.95;1.1;0.9;380;5
1083;0;0;1.1;0.9;220;5
1090;56.06;18.7;1.1;0.9;220;5
1093;0;0;1.1;0.9;380;5
1096;0;0;1.1;0.9;220;5
1100;0;0;1.1;0.9;220;5
1101;0;0;1.1;0.9;220;5
1102;0;0;1.1;0.9;220;5
1105;29.83;7.3;1.1;0.9;220;5
1111;0;0;1.1;0.9;220;5
1129;190.47;55.03;1.1;0.9;220;5
1136;16.22;2;1.1;0.9;220;5
1137;0;0;1.1;0.9;220;5
1146;32.84;0;1.1;0.9;220;5
1151;0;0;1.1;0.9;220;5
1153;12.41;3.9;1.1;0.9;220;5
1156;65.67;24;1.1;0.9;220;5
1159;112.4;13;1.1;0.9;220;5
1172;0;0;1.1;0.9;220;5
1179;86.6;23.4;1.1;0.9;220;5
1183;199.4;-19.9;1.1;0.9;220;5
1187;67.57;21.2;1.1;0.9;220;5
1188;30.93;6.6;1.1;0.9;220;5
1194;129.6;13.3;1.1;0.9;380;5
1198;0;0;1.1;0.9;380;5
1201;114.1;23.5;1.1;0.9;220;5
1216;0;0;1.1;0.9;220;5
1233;0;0;1.1;0.9;220;5
1234;71.78;17.9;1.1;0.9;220;5
1237;0;0;1.3;0.7;380;5
1248;0;0;1.1;0.9;220;5
1249;348.93;26.47;1.1;0.9;380;5
1251;0;0;1.1;0.9;380;5
1262;0;0;1.1;0.9;220;5
1265;173;-21.3;1.1;0.9;220;5
1275;52.46;2.9;1.1;0.9;220;5
1295;0;0;1.1;0.9;220;5
1301;479;99.2;1.1;0.9;220;5
1305;0;0;1.1;0.9;220;5
1311;37.94;15.2;1.1;0.9;380;5
1326;0;0;1.1;0.9;220;5
1334;0;0;1.1;0.9;220;5
1341;0;0;1.1;0.9;220;5
1343;0;0;1.1;0.9;380;5
1354;0;0;1.1;0.9;220;5
1355;-3.29;-1.32;1.1;0.9;380;5
1364;40.85;14.5;1.1;0.9;220;5
1380;145.2;21.4;1.1;0.9;220;5
1394;30.93;7.6;1.1;0.9;220;5
1397;0;0;1.1;0.9;220;5
1398;196.7;44.2;1.1;0.9;220;5
1401;11.91;2.9;1.1;0.9;220;5
1414;144.7;20.3;1.1;0.9;220;5
1415;0;0;1.1;0.9;220;5
1422;0;0;1.1;0.9;220;5
1435;0;0;1.1;0.9;220;5
1436;0;0;1.1;0.9;220;5
1448;0;0;1.1;0.9;220;5
1459;0;0;1.1;0.9;220;5
1462;0;0;1.1;0.9;220;5
1465;-11.03;-5.11;1.1;0.9;380;5
1478;0;0;1.1;0.9;220;5
